id;position;title;year;publisher;genre;characteristic;platform;metascore;user_avg;no_players
332;332;Batman: Arkham Asylum;2009;RocksteadyStudios;Action Adventure;Fantasy;PlayStation3;91;8.9;No Online Multiplayer
333;333;Castlevania: Aria of Sorrow;2003;Konami;Platformer;2D;GameBoyAdvance;91;8.8;1 to 2
334;334;No One Lives Forever 2: A Spy in H.A.R.M.'s Way;2002;Sierra;FPS;Modern;PC;91;8.7;not specified
335;335;INSIDE;2016;PLAYDEAD;Platformer;2D;PlayStation4;91;8.3;not specified
336;336;Legacy of Kain: Soul Reaver;1999;EidosInteractive;Action Adventure;Horror;PlayStation;91;9.0;1 Player
337;337;Dragon Age: Origins;2009;EA;RPG;Fantasy;PC;91;8.7;No Online Multiplayer
338;338;Dead Cells;2018;MotionTwin;Action;2D;XboxOne;91;7.7;No Online Multiplayer
339;339;Golden Sun;2001;Nintendo;JRPG;Fantasy;GameBoyAdvance;91;9.0;1 to 2
340;340;Rayman Legends;2013;Ubisoft;Platformer;2D;PlayStation3;91;8.7;not specified
341;341;Mark of the Ninja;2012;XboxGamesStudios;Platformer;2D;PC;91;8.0;No Online Multiplayer
342;342;World Soccer Winning Eleven 8 International;2005;Konami;Sports;Soccer;PlayStation2;91;8.4;1 to 8
343;343;SteamWorld Heist: Ultimate Edition;2015;Nintendo;Strategy;Turn-Based;Switch;91;8.5;No Online Multiplayer
344;344;The Legend of Zelda: A Link Between Worlds;2013;Nintendo;Action RPG;Open-World;3DS;91;9.0;No Online Multiplayer
345;345;Dark Souls II;2014;Bandai;Action RPG;Fantasy;PC;91;7.2;1 to 4
346;346;Castlevania: Circle of the Moon;2001;Konami;Platformer;2D;GameBoyAdvance;91;8.4;1 Player
347;347;Far Cry 3;2012;Ubisoft;FPS;Open-World;Xbox360;91;8.6;1 to 4
348;348;Dark Souls II;2014;Bandai;Action RPG;Fantasy;PlayStation3;91;8.1;1 to 4
349;349;Shovel Knight: Treasure Trove;2017;YachtClubGames;Platformer;2D;Switch;91;8.1;No Online Multiplayer
350;350;flower;2013;SonyInteractiveEntertainment;Adventure;General;PlayStation4;91;7.2;1 Player
351;351;Mario Kart DS;2005;Nintendo;Racing;Kart;DS;91;8.6;4  Online
352;352;Call of Duty;2003;Activision;FPS;Historic;PC;91;8.5;1 to 32
353;353;Madden NFL 2004;2003;EA;Sports;Football;PC;91;7.7;1 to 8
